Skeleton ID,Frontal - Left,Frontal - Right,Parietal - Left,Parietal - Right,Occipital,Temporal - Left,Temporal - Right,Sphenoid,Ethmoid,Vomer,Nasal - Left,Nasal - Right,Zygomatic - Left,Zygomatic - Right,Maxilla - Left,Maxilla - Right,Palatine - Left,Palatine - Right,Hyoid,Mandible,Unidentified Cranial Fragments,LXI1,LXI2,LXC,LXPM3,LXPM4,LXM1,LXM2,LXM3,RXI1,RXI2,RXC,RXPM3,RXPM4,RXM1,RXM2,RXM3,LNI1,LNI2,LNC,LNPM3,LNPM4,LNM1,LNM2,LNM3,RNI1,RNI2,RNC,RNPM3,RNPM4,RNM1,RNM2,RNM3,Clavicle - Left,Clavicle - Right,Scapula - Left,Scapula - Right,Patella - Left,Patella - Right,Sacrum,Ilium - Left,Ilium - Right,Ischium - Left,Ischium - Right,Pubis - Left,Pubis - Right,Coccyx,C1,C2,C7,C3-6,T1-9,T10,T11,T12,L1,L2,L3,L4,L5,LXdI1,LXdI2,LXdC,LXdM1,LXdM2,RXdI1,RXdI2,RXdC,RXdM1,RXdM2,LNdI1,LNdI2,LNdC,LNdM1,LNdM2,RNdI1,RNdI2,RNdC,RNdM1,RNdM2,Vertebral Fragments,Sternum,1st Rib - Left,1st Rib - Right,2nd Rib - Left,2nd Rib - Right,11th Rib - Left,11th Rib - Right,12th Rib - Left,12th Rib - Right,3-10 Ribs - Left,3-10 Ribs - Right,Ribs - Unsided,Humerus - Left,Humerus - Right,Radius - Left,Radius - Right,Ulna - Left,Ulna - Right,Femur - Left,Femur - Right,Tibia - Left,Tibia - Right,Fibula - Left,Fibula - Right,Talus - Left,Talus - Right,Calcaneus - Left,Calcaneus - Right,Carpals - Left,Carpals - Right,Metacarpals - Left,Metacarpals - Right,Hand Phalanges,Tarsals - Left,Tarsals - Right,Metatarsals - Left,Metatarsals - Right,Foot Phalanges,Inventory Comments,Ossified Cartilage,Rhomboid Fossa - L,Rhomboid Fossa - R
"ET27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,"4","8",1,1,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,10,1,1,1,1,1,1,1,1,1,"8","8","20","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, scaph, triq, gr mult, less mult, pisi","cap, lun, scaph, triq, gr mult, pisi","1, 2, 3, 4, 5","1, 2, 3, 4, 5","7 prox, 6 interm, 4 dist","cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","7 prox, 2 interm, 2 dist","Also included: 1 sesamoid bone.",0,"Absent","Absent"
"ET30",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,"Vert fragment is from an L vert.  Also present are: an MC shaft, fragment of long bone (possibly radius), 9 unidentified bone fragments.  No measurements possible.",0,,"Absent"
"ET31",0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,,"9",1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,20,0,0,1,0,0,0,0,0,0,"3","4","30","Middle Third","Middle Third",,"Middle Third","Prox Third","Prox Third","Middle Third","Prox Third","Middle Third","Middle Third","Middle Third","Distal Third",0,0,0,0,,,,,"4 prox",,,,,,"Also present include: 3 MCs.",0,"Unknown (fragmented clavicle)","Unknown (clavicle fragmented)"
"ET32",0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,"2","8",0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,10,0,1,1,0,0,0,0,0,0,"4","4","50","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Distal Third","Complete",1,1,1,1,"cap","scaph","1, 2","1, 2, 3, 4, 5","5 prox, 4 interm, 2 dist","cub, navic, 1st, 2nd, 3rd cunei","cub, 3rd cunei","1, 2, 3, 4","1, 2, 3, 4, 5","1 prox 1st",,0,"Absent","Absent"
"ET33",1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,"3","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,20,1,0,1,0,1,1,1,1,0,"3","6","50",,"Complete","Complete","Complete","Complete","Complete","Prox Third","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"ham","cap, ham, scaph, triq, gr mult, less mult","2, 3, 4, 5","1, 2, 3, 4, 5","7 prox, 3 interm","cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 3rd cunei","1","1, 2, 3, 4, 5","2 prox","Also present: fragments of other L MTs.  Unsure which ones.",0,,"Absent"
"ET33B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,"Prox Third","Distal Third",,"Distal Third",,,0,0,0,0,,,,,"1 interm",,,,,,"Also present: fragment of a distal humerus; unsure which side.",0,,
"ET36",0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,20,1,0,1,0,1,0,1,0,0,"5","7","50","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Prox Third","Prox Third",,"Complete","Middle Third",0,0,0,0,,"cap",,,"7 prox, 1 interm, 1 dist",,,,,,"Also present are: 5 MCs, unsure which ones or side; epiphyses: femora, tibia, humeri.",0,"Absent","Absent"
"ET37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,40,0,1,1,0,0,0,0,0,0,"1",,"30","Distal Third","Middle Third","Distal Third","Prox Third","Distal Third","Prox Third","Prox Third","Prox Third",,,,,0,0,0,0,,,,"1","3 prox",,,,,,"One additional MC, unsure which one.  MC1 was bagged as being on the R side, but this isn't definite.  Pieces of C, T, and L verts present.  One nearly complete L vert present.",0,"Unknown (fragmented clavicle)","Absent"
"ET38",1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,"3","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,0,1,"7","7","50","Complete","Complete","Prox Third","Complete","Complete","Complete","Complete","Complete","Prox Third","Complete","Complete","Complete",0,1,1,1,"cap, gr mult, less mult","cap, ham, less mult","1, 2","1, 2, 3, 4, 5","4 prox, 3 interm, 5 dist","cub, 1st, 2nd, 3rd cunei","cub, navic, 2nd, 3rd cunei","1, 2, 3, 4, 5","3, 4, 5","1 prox","Also present: xyphoid process of sternum, ossified.",0,"Present","Present"
"ET39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,,"1",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,"1","0","50","Distal Third","Distal Third","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, ham, lun, scaph","cap, scaph","2, 3, 4, 5","2, 3, 4","2 prox","cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 2nd, 3rd cunei","1, 2",,,,0,,"Present"
"ET40",1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,"4","8",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,20,1,1,1,0,0,1,0,1,0,"1","7","60","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Prox Third",,,,,0,0,0,0,,"less mult",,"2, 3, 4, 5","1 prox",,,,,"1 prox","Foot phalanx could be from someone else.",0,"Absent","Absent"
"ET41",1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"3","8",0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,15,0,0,1,0,0,0,0,0,0,"1","1","20",,"Prox Third",,"Complete",,"Distal Third",,,,,,,0,0,0,0,,"cap, ham, lun, scaph, triq, gr mult",,"1, 2, 3, 4, 5","4 prox",,,,,,,0,"Absent","Absent"
"ET42",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,"3","5",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,30,0,0,1,0,0,0,0,0,0,"4","2","70","Prox Epiph","Complete",,"Complete",,"Complete","Distal Third","Distal Third","Complete","Complete","Complete","Complete",1,1,1,1,,"cap, ham, lun, triq, less mult",,"1, 2, 3, 4, 5","6 prox, 2 interm, 1 dist","cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","4 prox",,0,"Absent","Unknown (clavicle fragmented)"
"ET43",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,10,1,1,1,1,1,1,1,1,1,"7","6","20","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, ham, lun, scaph, triq, gr mult, less mult, pisi","cap, ham, lun, scaph, triq, gr mult, pisi","1, 2, 3, 4, 5","1, 2, 3, 4, 5","10 prox, 7 interm, 7 dist","cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","3 prox, 1 interm",,1,"Present","Present"
"ET44",0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,"4","8",1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,20,1,1,1,1,1,1,0,1,0,"6","7","50","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, ham, lun, scap, triq, gr mult, less mult, pisi","cap, ham, lun, scap, triq, gr mult, less mult, pisi","1, 2, 3, 4, 5","2, 3, 4, 5","8 prox, 2 interm, 3 distal","cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 5","6 prox, 2 interm, 3 distal","Also present: one sesamoid bone in foot.",0,"Absent","Absent"
"ET45",1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,10,1,1,1,1,1,1,1,1,1,"6","7","40","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, lun, triq, gr mult, less mult","cap, ham, lun, scaph, triq, gr mult, less mult","1, 2, 3, 4, 5","1, 2, 3, 4, 5","9 prox, 4 interm","cub, navic, 1st, 2nd, 3rd cunei","navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","9 prox, 3 interm, 4 distal","Various epiphyses are present: nearly all from the long bones, lots of the MTs/MCs and phalanges, etc.",0,"Absent","Absent"
"ET49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,"Distal Third",,"Distal Third","Distal Third",1,1,1,1,,,,,,"cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3","1, 2, 3, 4","3 prox",,0,,
"ET51",0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,"4","7",0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,10,1,1,1,0,0,0,0,0,0,"3","6","50","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, ham, lun, triq","cap, ham, lun, triq, scaph, gr mult, less mult","1, 2, 3, 5","1, 2, 3, 4, 5","9 prox, 8 interm, 5 dist","2nd, 3rd cuneiform","navic, 1st cunei, 3rd cunei","1, 4","1, 4, 5","3 prox","Also present: 2 MTs.",0,"Present","Unknown (clavicle fragmented)"
"ET52",1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"4","9",0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,20,1,0,1,1,1,0,0,0,0,"5","2","50","Complete","Complete","Prox Third","Complete","Prox Third","Complete","Middle Third",,"Complete",,,,0,0,0,0,,"cap, ham, scaph, lun, triq",,"1, 2, 3, 4, 5","3 prox",,,,,,"Also present: fragment of fibula shaft, a carpal (possibly pisiform, possibly sesamoid bone).",0,"Absent","Absent"
"ET53",1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,,"1",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,"0","4","30",,"Complete",,"Complete",,"Complete",,,,,,,0,0,0,0,,"cap, ham, lun, scaph, triq, gr mult, less mult, pisi",,"1, 2, 3, 4, 5","5 prox, 4 interm, 1 dist",,,,,,"Fragmentary but present are the sternum and one T vert.",0,,
"ET54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","2","Middle Third",,"Middle Third",,"Middle Third",,"Complete",,"Prox Third",,,,0,0,0,0,,,,,,,,,,,"See notes.  I can't confirm that these are the bones present.  No measurements possible.",0,,
"ET55",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0","Distal Third",,"Prox Third",,"Prox Third",,,,,,,,0,0,0,0,,,,,,,,,,,"See notes; unsure if these long bones represent the L arm.",0,,
